description,title,url,date,location,images,address,server,price,image_urls,spider,project
"
- No Agent Fees
- Property Reference Number: 81984
2 Bed Flat, Ladbroke Grove, W10.
This 2 bedroom, 1 bathroom Flat is available to move in from 10 February, 2018.
The rent is £1,950.00 per month (£450.00 per week).
* Property comes furnis
","
2 bedroom flat in Ladbroke Grove, London, W10 (2 bed)
",,,,,"
Mill Hill, London
",,"1,450",https://i.ebayimg.com/00/s/MTk4WDEwMjQ=/$T2eC16hHJG8FGsjhZ91sBRyYuN0)k!~~48_99.JPG,,
"
- No Agent Fees
- Property Reference Number: 331842
For rent is this beautiful newly refurbished ground floor house converted flat with rear garden and on-street parking. This flat boasts two double rooms, open plan living room, kitchen, spacious
","
2 bedroom flat in Katherine, London, E6 (2 bed)
",,,,,"
East Ham, London
",,"1,700",https://i.ebayimg.com/00/s/MTk4WDEwMjQ=/$T2eC16hHJG8FGsjhZ91sBRyYuN0)k!~~48_99.JPG,,
"
ALL BILLS INCLUDED
Area:
* Wimbledon SW19
* 5 mins from tube Wimbledon tube / bus stop
* Close to Olympia Exhibition Centre,Fulham and Hammersmith Broadway Sotheby’s, Blythe House, North End Road Market, Charing Cross Hospital, Kensington Hig
","
Big Room close to transport Own backyard
",,,,,"
Newham, London
",,"1,300",https://i.ebayimg.com/00/s/NjgzWDEwMjQ=/z/ddoAAOSwi0xaQ5g~/$_99.JPG,,
"
- No Agent Fees
- Property Reference Number: 279858
4 Bed Detached House, Uphill Grove, NW7. Available to students only.
This 4 bedroom, 2 bathroom Detached House is available to move in from 23 January, 2018.
The rent is £3,400.00 per month
","
4 bedroom house in Uphill Grove, London, NW7 (4 bed)
",,,,,"
Woodford, London
",,"1,500",https://i.ebayimg.com/00/s/Njc4WDEwMjQ=/z/CeoAAOSwqvNaWPDI/$_99.JPG,,
"
Pure estates are delighted to present these two double rooms in East Ham.
The two rooms are located just a 5 minute walk from East Ham station and are minutes from East Ham high street.
The property is perfect for professionals as it has exce
","
TWO AMAZING ROOMS IN EAST HAM!!!
",,,,,"
Redbridge, London
",,"1,800",https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/C2kAAOSw1GlaZv4~/$_99.JPG,,
"
Pure Estates are delighted to present this amazing three bedroom next to Barking Road.
The property is located just seconds from the popular high street and just minutes from East Ham station.
This spacious house benefits from two bathrooms,t
","
SPACIOUS 3 BEDROOM HOUSE!!!
",,,,,"
Newham, London
",,350,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/N8kAAOSwiqFaZwEA/$_99.JPG,,
"
Pure Estates is delighted to offer this 2 bedroom located in Woodford.
The property is just a 4 minutes walk to Woodford Station and just steps away from local shops and amenities. Woodbridge high school is the local school being just 11 minutes w
","
TWO BEDROOM AVAILABLE IN WOODFORD!
",,,,,"
Plaistow, London
",,"1,450",https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/6FMAAOSwGBhaYin3/$_99.JPG,,
"
Pure Estates are delighted to present this stunning three bedroom house.
The property is located just a 7 minute walk away from Ilford Station and 5 minutes from the local high street.
The property is in an excellent location as you have outsta
","
NEW THREE BEDROOM HOUSE IN ILFORD!!!
",,,,,"
Plaistow, London
",,"1,300",https://i.ebayimg.com/00/s/NDY0WDcwMA==/z/xS4AAOSwnMBaa14G/$_99.JPG,,
"
Pure Estates are delighted to present this stunning two bedroom house.
This property is located just a 3 minute walk from Prince Regent Station so it is perfect for a professional family.
The property benefits from private parking, two double
","
AMAZING TWO BEDROOM IN BECKTON!!!
",,,,,"
Stratford, London
",,345,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/4UYAAOSwODFaXcBT/$_99.JPG,,
"
AWAITING IMAGES!!
Pure Estates are delighted to present this stunning three bedroom in Plaistow.
The property is located just a 7 minute walk away from Plaistow station meaning you have quick and easy access to local shops and transport links.
","
AMAZING THREE BEDROOM IN PLAISTOW!!!
",,,,,"
Leytonstone, London
",,440,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/SdkAAOSwXMZaYikK/$_99.JPG,,
"
Pure Estates are delighted to present this amazing 5 bedroom house in Plaistow.
The property is located just a 10 minute walk away from Plaistow station and is just minute from Newham Hospital which means it is perfect for a group of students.
","
STUNNING 5 BEDROOM HOUSE!!!
",,,,,"
Newham, London
",,595,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/BOwAAOSwvSBaX2Sw/$_99.JPG,,
"
Pure Estates are delighted to present this amazing Single room to let in Upton Park.
The property is located just a 2 minute walk away from Upton Park Station and just 1 minute from Green Street.
The property is in the ideal location as you h
","
SPACIOUS SINGLE ROOM AVAILABLE IN UPTON PARK
",,,,,"
Maida Vale, London
",,325,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/vUkAAOSwLs9aYirW/$_99.JPG,,
"
Pure Estates are delighted to present this stunning two bedroom to rent in Leyton.
The property is located in the centre of Leyton just minutes from Leyton station. With local shops and amenities within walking distance this property is perfect fo
","
AMAZING TWO BEDROOM IN LEYTON!!!
",,,,,"
Westminster, London
",,325,https://i.ebayimg.com/00/s/NjgwWDEwMjQ=/z/P00AAOSwZA1ab0zw/$_99.JPG,,
"
Pure Estates are delighted to present this stunning 2 bedroom house to rent.
This stunning property has just undergone a refurbishment so the house is in excellent condition.
The property is located minutes from Green Street giving you quick
","
STUNNING TWO BED OFF GREEN STREET!
",,,,,"
Westminster, London
",,310,https://i.ebayimg.com/00/s/NDI3WDY0MA==/z/G0MAAOSwQiFacbwT/$_99.JPG,,
title,image_urls,server,price,address,location,images,project,spider,url,description,date
Very Large 1 Bedroom Flat With Own Garden - Plaistow - Canning Town - E13,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/0-MAAOSw8q1aTj6t/$_86.JPG,UX360CA,[1150.0],"Plaistow, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-rent/very-large-1-bedroom-flat-with-own-garden-plaistow-canning-town-e13/1281556866,"We are pleased to present to the market for rental this exceptionally large 1 Bedroom Ground Floor Flat close to all local amenities and with excellent transport links to Plaistow and Canning Town Stations. The property consists of:  Living room Double Bedroom Fully Fitted Kitchen Laminate Flooring Double Glazing Central Heating Own Rear Garden Storage Room  This property is suitable for working professionals only with good references. Ideal for sharers, students, couples or a small family.  No DSS applicants.  Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall three bed house to let delhi st st thomas,easy walk into swansea.three beds,2 living rooms plus kit,upstairs bathroom.available now ring 07974215659 Nice Spacious 1 double bed flat within a Victorian Building.
The property has a spacious living room, good size double bedroom, separate kitchen and bathroom/toilet.
Minimum Contract 6 Months.
Reference check £100 Ground floor big room which is a double size of a normal bedroom, is for rent with seperate toilet downstaitrs. With sharing kichen and gardens. Bus stop is in 2 minutes walk also tesco store is on same distance. Looking for single professional lady Large room with double bed, desk and wardrobe in 5 bedroom furnished home. Rent includes bills (utilities and internet). Ideal for Warwick or Coventry University third/final year or post-grad student. This detached house comes with a fitted kitchen Property has 1 bedroom, 1 living room, a kitchen & bathroom upstairs & 2 rooms downstairs.
Terms & Conditions
Contract has to be minimum 12 months long. House is in a bad condition so you have to be willing to repair/replace and damages in the h Looking for a two bed in the Oxfordshire area please we are a working family Newly renovated throughout, two double bedroom, two bathroom split level apartment, situation close to Woodside Park Underground Station and North Finchley High Road.
The property has been refurbished to a very high standard and offers a large rece Homes for Living are proud to present this luxury 2 bedroom apartment located within the prestigious Imperial wharf development. The property boasts:
- 2 spacious bedrooms.
- Balcony with direct views of River Thames
- Modern kitchen
- Spac Homes for living are proud to present this stunning 1 bed flat near Croydon.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Washer Dryer
- Close to public transport links
- Close to local amenities
Many more properties l","[datetime.datetime(2018, 1, 31, 21, 30, 28, 856491)]"
"1 Bedroom In Ealing, Ealing, W5",https://i.ebayimg.com/00/s/NjgyWDEwMjQ=/z/zdgAAOSwlxRaT3xC/$_86.JPG,UX360CA,[600.0],"Ealing Broadway, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-rent/1-bedroom-in-ealing-ealing-w5/1278736040,"Room Only (Shared House) - No Agent Fees - Property Reference Number: 318089 1 room is still available in this spacious 4 double bedroom house perfectly located in Ealing. Literally 2 mins away from the station and 1 minute walk from Tesco and Gym. In addition the road is located a 3 minute walk from Ealing Broadway Shopping Centre. The property has a fully equipt kitchen with newly fitted electric oven, a good sized bathroom with shower and separate toilet. There is also a private balcony with a nice view and large beautiful communal garden. WiFi and bills are included in the price. Summary & Exclusions: - Rent Amount: £600.00 per month (£138.46 per week) - Deposit / Bond: £600.00 - 4 Bedrooms - 2 Bathrooms - Property comes furnished - Available to move in from 31 January, 2018 - Minimum tenancy term is 6 months - Maximum number of tenants is 4 - DSS enquiries welcome - Students welcome to enquire - Pets considered / by arrangement - Smokers considered - Family Friendly - Bills Included - Property has parking - Property has garden access If calling, please quote reference: 318089 Fees: You will not be charged any admin fees. Referencing for tenants only costs £20 each, if requested by the landlord for this property. ** Contact today to book a viewing and have the landlord show you round! ** Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week. OpenRent Ref: 318089 Agent: OpenRent Agent Ref: Reference_Number_318089 Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall three bed house to let delhi st st thomas,easy walk into swansea.three beds,2 living rooms plus kit,upstairs bathroom.available now ring 07974215659 Nice Spacious 1 double bed flat within a Victorian Building.
The property has a spacious living room, good size double bedroom, separate kitchen and bathroom/toilet.
Minimum Contract 6 Months.
Reference check £100 Ground floor big room which is a double size of a normal bedroom, is for rent with seperate toilet downstaitrs. With sharing kichen and gardens. Bus stop is in 2 minutes walk also tesco store is on same distance. Looking for single professional lady Large room with double bed, desk and wardrobe in 5 bedroom furnished home. Rent includes bills (utilities and internet). Ideal for Warwick or Coventry University third/final year or post-grad student. This detached house comes with a fitted kitchen Property has 1 bedroom, 1 living room, a kitchen & bathroom upstairs & 2 rooms downstairs.
Terms & Conditions
Contract has to be minimum 12 months long. House is in a bad condition so you have to be willing to repair/replace and damages in the h Looking for a two bed in the Oxfordshire area please we are a working family Newly renovated throughout, two double bedroom, two bathroom split level apartment, situation close to Woodside Park Underground Station and North Finchley High Road.
The property has been refurbished to a very high standard and offers a large rece Homes for Living are proud to present this luxury 2 bedroom apartment located within the prestigious Imperial wharf development. The property boasts:
- 2 spacious bedrooms.
- Balcony with direct views of River Thames
- Modern kitchen
- Spac Homes for living are proud to present this stunning 1 bed flat near Croydon.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Washer Dryer
- Close to public transport links
- Close to local amenities
Many more properties l","[datetime.datetime(2018, 1, 31, 21, 30, 29, 419478)]"
Lovely Modern From Available Asap From February-June 2018,https://i.ebayimg.com/00/s/NDM3WDY1Ng==/z/ADcAAOSw38BacGW7/$_86.JPG,UX360CA,[272.5],"Westminster, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-share/lovely-modern-from-available-asap-from-february-june-2018/1284946544,"Hi!  I am looking for someone to take over my tenancy ASAP for this lovely room. It will be available from the first week of February. It is part of a modern 2 bed 2 bath flat located on the 5th floor of 4 Merchant Square East.  Key features:  1. Bedroom with double bed and wardrobe 2. Own bathroom outside of bedroom 3. Spacious lounge and kitchen 4. Washing machine 5. Storage space 6. 24 hour concierge in the building  The other ensuite bedroom will be occupied by a third year university student.  Merchant Square is a great residential location with many local amenities around the area including Tesco express, Superdrug, Post Office, and the underground stations (Edgware Road and Paddington) just 5 minutes away!  The rent is £272.5 pw plus bills. Please contact me if interested!    Kind regards, Thuta     Very big double room newly refurbished in Wimbledon close to shops and transport
Suitable for non smoker professional
156£/week all bills included
Call Andrea 07799622597 ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable THE BEST WAY TO GET IN TOUCH WITH ME IS VIA MY MOBILE
SINGLE ROOM AVAILABLE IN LAINDON ESSEX IN A NICE AND QUIET HOUSE SHARE.
PLEASE NOTE, THERE IS 4 BEDROOMS FOR THE MAXIMUM OF FOUR PEOPLE IN THIS HOUSE. SO PLEASE NO COUPLES ENQUIRE.
JUS Spacious lovely double bedroom, fully furnished, en-suite with shower and toilet , nice big clean new built house sharing with only 2 guys so you have the whole floor for yourself , close to universities and hospitals, only 10 minutes bus ride to Man Chair to rent in our lovely newly refurbished hair and beauty salon 30 seconds from Highbury & Islington station.
Must have own clients and insurance.
We are a great team of young professionals who are friendly and welcoming.
Work the hours A double bedroom (unfurnished) forming part of a large detached house on a quiet private no through road with a total of five properties. Excellent transport links for Central line (woodford Green or Chigwell. A spacious single room to rent in ILFORD including Bills £330 pm.
Close to train station, manor park station, bus links 25,86,147, grocery shop.
Call to arrange viewing at 07404670089 Great looking spacious Victorian flat on the bustling Barking Road. All amenities on your doorstep.
Furnished to a high standard available now!!
Less than 10 minutes walk to the nearest tube station Plaistow which has both the District line and ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable","[datetime.datetime(2018, 1, 31, 21, 30, 29, 589063)]"
"A Fantastic Three Bedroom House To Rent With Large Private Garden, Lambeth Road",https://i.ebayimg.com/00/s/Njc3WDEwMjQ=/z/1YsAAOSwdTJaVfdP/$_86.JPG,UX360CA,[3000.0],"Waterloo, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-rent/a-fantastic-three-bedroom-house-to-rent-with-large-private-garden-lambeth-road/1282288224,"A fantastic three bedroom house to rent with large private garden in an ideal location walking distance to the South Bank.  *Three double bedrooms *Spacious, open plan living *High spec throughout *Well-maintained private garden *Perfect for families or sharers *EPC E  £3000 per calendar month  Call 020 3465 9240 or email (quoting Lambeth Road) for more information or to book a viewing. If you email please also provide a phone number.  If you are interested in this property please note that you must have available one full month's rent and six weeks rent as a deposit.  Offered FURNISHED and available MARCH 2018  *Plus £210 inc VAT tenancy agreement fee  *Other fees apply, visit - kfh . co . uk /lettingsfee 211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther","[datetime.datetime(2018, 1, 31, 21, 30, 29, 606341)]"
Bright Double Room Available Now In Wood Green North London *All Bills Inc*,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/pjYAAOSwgsxacZWr/$_86.JPG,UX360CA,[138.0],"Wood Green, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-share/bright-double-room-available-now-in-wood-green-north-london-all-bills-inc-/1285040971,"Bright double room situated on High Road, Wood Green N22 8JA, overlooking beautiful Woodside Park.  This is a shoe free house and it is always kept clean and tidy.  There is a shared kitchen with all appliances, kettle, microwave, toaster etc, bathroom, large living/dining room, carpet flooring all throughout, double glazing and central heating.  Very close to local amenities such as cafes, restaurants, shops, superstores, banks, post office, gym, 10 minutes walking distance to Wood Green Shopping Mall.  The property is 5-10 minutes walking distance to: Wood Green Underground Station (Picadilly Line)  There is a bus stop right across the property where buses depart to: Turnpike Lane Station Wood Green Station London Bridge  All bills included in the rent Only two weeks deposit required  Please contact Safia or Dilayda on 02088882080 / 07581171710 and arrange viewings to avoid disappointment! Very big double room newly refurbished in Wimbledon close to shops and transport
Suitable for non smoker professional
156£/week all bills included
Call Andrea 07799622597 ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable THE BEST WAY TO GET IN TOUCH WITH ME IS VIA MY MOBILE
SINGLE ROOM AVAILABLE IN LAINDON ESSEX IN A NICE AND QUIET HOUSE SHARE.
PLEASE NOTE, THERE IS 4 BEDROOMS FOR THE MAXIMUM OF FOUR PEOPLE IN THIS HOUSE. SO PLEASE NO COUPLES ENQUIRE.
JUS Spacious lovely double bedroom, fully furnished, en-suite with shower and toilet , nice big clean new built house sharing with only 2 guys so you have the whole floor for yourself , close to universities and hospitals, only 10 minutes bus ride to Man Chair to rent in our lovely newly refurbished hair and beauty salon 30 seconds from Highbury & Islington station.
Must have own clients and insurance.
We are a great team of young professionals who are friendly and welcoming.
Work the hours A double bedroom (unfurnished) forming part of a large detached house on a quiet private no through road with a total of five properties. Excellent transport links for Central line (woodford Green or Chigwell. A spacious single room to rent in ILFORD including Bills £330 pm.
Close to train station, manor park station, bus links 25,86,147, grocery shop.
Call to arrange viewing at 07404670089 Great looking spacious Victorian flat on the bustling Barking Road. All amenities on your doorstep.
Furnished to a high standard available now!!
Less than 10 minutes walk to the nearest tube station Plaistow which has both the District line and ***AVAILABLE NOW***
Double Room in clean and quiet newly refurbished house
150£ weekly
1 month deposit
1 week agency fee
Close to:
Plastow bus stop
Iceland
***No bills included***
Bills are usually 5-7£ per week
Suitable","[datetime.datetime(2018, 1, 31, 21, 30, 29, 627218)]"
"Three Bedroom Flat To Rent In A Secure Block, Royal Street",https://i.ebayimg.com/00/s/Njc3WDEwMjQ=/z/LMUAAOSw8vNaXcCC/$_86.JPG,UX360CA,[508.0],"Waterloo, London",,,gumtree,basic2,https://www.gumtree.com/p/property-to-rent/three-bedroom-flat-to-rent-in-a-secure-block-royal-street/1281646837,"Three bedroom flat to rent in a secure block moments from Waterloo and the amenities around the South Bank including Lower Marsh. Lift access and private balcony.  *Three bedrooms *Secure building *Superb location *Private balcony *Close to transport links *EPC C *Other fee structure applies*  £508 per week  Call 020 3465 9240 or email (quoting Royal Street) for more information or to book a viewing. If you email please also provide a phone number.  If you are interested in this property please note that you must have available one full month's rent and six weeks rent as a deposit.  Offered UNFURNISHED and available FEBRUARY 2018  *Other fees apply* 211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther","[datetime.datetime(2018, 1, 31, 21, 30, 29, 649353)]"
