,0,1,2
99.0,64.4,17.6,18.0
100.0,63.6,18.2,17.2
101.0,63.1,18.3,19.2
102.0,61.7,18.8,19.5
103.0,62.4,20.6,17.1
104.0,60.3,21.5,17.6
105.0,58.0,23.0,18.7
106.0,58.7,24.9,16.0
107.0,56.7,26.0,16.8
108.0,57.9,26.1,15.3
109.0,56.9,27.3,15.4
110.0,53.5,27.8,13.2
111.0,56.6,28.1,15.2
112.0,54.9,28.7,14.3
113.0,53.6,28.8,18.2
114.0,55.5,28.9,15.2
115.0,55.4,29.2,15.0
116.0,56.0,29.7,14.4
117.0,50.3,30.4,19.2
118.0,51.6,31.5,17.1
119.0,51.4,32.0,16.0
120.0,52.9,32.2,14.1
121.0,51.5,34.2,14.9
122.0,50.3,35.1,14.0
123.0,49.5,35.2,15.2
124.0,50.6,36.2,13.4
125.0,49.6,36.5,13.9
126.0,48.6,37.8,13.8
127.0,43.9,44.7,12.1
128.0,42.1,45.0,11.8
129.0,42.2,45.7,11.0
130.0,54.1,29.8,15.7
131.0,72.8,5.9,20.7
132.0,41.4,46.0,12.5
133.0,76.1,1.4,21.6
134.0,74.0,4.6,20.8
135.0,72.5,6.4,20.9
136.0,70.3,8.5,21.0
137.0,65.7,11.0,16.3
138.0,64.6,13.5,16.7
139.0,63.6,17.0,19.7
140.0,62.4,22.4,11.5
141.0,54.2,27.9,17.6
142.0,52.5,31.5,16.0
143.0,41.2,46.5,11.1
144.0,71.1,6.1,21.5
145.0,75.6,2.0,21.4
146.0,73.9,4.7,21.1
147.0,73.5,5.3,21.6
148.0,73.1,6.0,19.6
149.0,72.4,6.4,20.6
150.0,72.6,6.8,19.6
151.0,73.4,7.1,18.8
152.0,71.9,7.3,20.1
153.0,71.8,7.8,20.2
154.0,70.9,9.0,19.9
155.0,65.7,10.0,19.7
156.0,69.2,10.5,19.6
157.0,68.7,11.0,20.0
158.0,67.5,12.2,20.1
159.0,65.2,14.0,20.5
160.0,62.7,15.9,21.0
161.0,66.2,16.5,17.2
162.0,63.2,17.7,19.0
163.0,61.7,18.8,19.5
164.0,60.3,23.4,16.3
165.0,56.9,26.7,15.6
166.0,55.6,28.3,16.3
167.0,55.5,28.9,15.2
168.0,53.3,31.1,16.3
169.0,52.2,33.7,14.2
170.0,49.5,35.2,15.2
171.0,48.5,38.5,12.2
172.0,42.1,46.3,11.5
173.0,40.7,47.7,11.8
174.0,58.3,25.5,15.5
175.0,69.3,10.6,19.3
176.0,75.6,2.0,21.4
177.0,70.7,4.7,20.5
178.0,72.6,6.8,19.6
179.0,71.5,8.6,19.4
180.0,72.9,11.2,13.7
181.0,71.3,13.8,12.6
182.0,59.7,17.7,15.8
183.0,59.8,23.3,16.4
184.0,55.5,29.0,16.6
185.0,50.3,34.8,14.6
186.0,41.0,47.8,11.6
187.0,65.2,11.1,19.2
188.0,72.7,2.9,21.7
189.0,72.1,4.8,21.6
190.0,73.5,5.6,20.0
191.0,73.6,6.2,19.3
192.0,72.5,6.4,20.9
193.0,73.4,6.8,18.7
194.0,72.0,7.1,19.0
195.0,73.2,7.3,19.9
196.0,71.9,7.9,19.1
197.0,69.5,9.2,21.5
198.0,67.9,10.1,19.5
199.0,71.1,10.7,17.7
200.0,65.7,11.2,19.4
201.0,68.1,12.5,18.6
202.0,66.8,14.3,17.4
203.0,64.7,16.0,19.0
204.0,63.6,17.0,19.7
205.0,63.0,18.1,18.6
206.0,62.5,19.4,17.9
207.0,55.3,24.8,19.3
208.0,56.6,27.2,15.7
209.0,54.4,28.4,14.4
210.0,55.4,29.2,15.0
211.0,53.4,31.3,15.3
212.0,51.6,33.8,13.8
213.0,50.3,35.5,13.2
214.0,44.9,42.5,12.0
215.0,41.0,47.8,11.6
